Annotations,Speaker,Utterance
,%mor,verb|tell-Fin-Imp-S pron|I-Prs-Acc-S1 pron|what-Rel-S1 det|the-Def-Art noun|bear aux|be-Fin-Ind-Pres-S3 verb|do-Part-Pres-S adv|here .
,%gra,1|8|ROOT 2|1|IOBJ 3|7|OBJ 4|5|DET 5|7|NSUBJ 6|7|AUX 7|1|CCOMP 8|7|ADVMOD 9|1|PUNCT
,%gpx,Indicated one picture
NOP,*CHI,he's putting &-um (.) grass and he's eating it .
,%mor,pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|put-Part-Pres-S noun|grass cconj|and pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|eat-Part-Pres-S pron|it-Prs-Acc-S3 .
,%gra,1|3|NSUBJ 2|3|AUX 3|9|ROOT 4|3|OBJ 5|8|CC 6|8|NSUBJ 7|8|AUX 8|3|CONJ 9|8|OBJ 10|3|PUNCT
,%act,Given a sticker
NOP,*CHI,"put it right here , right ?"
,%mor,verb|put-Fin-Imp-S pron|it-Prs-Acc-S3 adv|right adv|here cm|cm adv|right ?
,%gra,1|6|ROOT 2|1|OBJ 3|4|ADVMOD 4|1|ADVMOD 5|1|PUNCT 6|1|ADVMOD 7|1|PUNCT
,%com,Bear pictures still
NOP,*KAR,what did he do before he took a bath ?
,%mor,pron|what-Int-S1 aux|do-Fin-Ind-Past-S3 pron|he-Prs-Nom-S3 verb|do-Inf-S sconj|before pron|he-Prs-Nom-S3 verb|take-Fin-Ind-Past-S3 det|a-Ind-Art noun|bath ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|9|ROOT 5|7|MARK 6|7|NSUBJ 7|4|ADVCL 8|9|DET 9|7|OBJ 10|4|PUNCT
NOP,*CHI,what ?
,%mor,pron|what-Int-S1 ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,"before he took a bath , what did he do ?"
,%mor,sconj|before pron|he-Prs-Nom-S3 verb|take-Fin-Ind-Past-S3 det|a-Ind-Art noun|bath cm|cm pron|what-Int-S1 aux|do-Fin-Ind-Past-S3 pron|he-Prs-Nom-S3 verb|do-Inf-S ?
,%gra,1|3|MARK 2|3|NSUBJ 3|10|ADVCL 4|5|DET 5|3|OBJ 6|10|PUNCT 7|10|OBJ 8|10|AUX 9|10|NSUBJ 10|10|ROOT 11|10|PUNCT
NOP,*CHI,ate the grass and he spit it out .
,%mor,verb|eat-Fin-Ind-Past-S1 det|the-Def-Art noun|grass cconj|and pron|he-Prs-Nom-S3 verb|spit-Fin-Ind-Past-S3 pron|it-Prs-Acc-S3 adp|out .
,%gra,1|8|ROOT 2|3|DET 3|1|OBJ 4|6|CC 5|6|NSUBJ 6|1|CONJ 7|6|OBJ 8|6|COMPOUND-PRT 9|1|PUNCT
 NOP,*KAR,what was he doing in this picture ?
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Past-S3 pron|he-Prs-Nom-S3 verb|do-Part-Pres-S adp|in det|this-Def-Dem noun|picture ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|7|ROOT 5|7|CASE 6|7|DET 7|4|OBL 8|4|PUNCT
NOP,*CHI,he was laying down .
,%mor,pron|he-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 verb|lay-Part-Pres-S adp|down .
,%gra,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|COMPOUND-PRT 5|3|PUNCT
,%act,Given a sticker
NOP,*CHI,<we got> [//] gotta [//] <we gotta stick this on the> [//] the page .
,%mor,det|the-Def-Art noun|page .
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
,%xpho,<9w-10w> d&
NOP,*KAR,I have a picture of two friends and I want you to tell me what they are doing .
,%mor,pron|I-Prs-Nom-S1 verb|have-Fin-Ind-Pres-S1 det|a-Ind-Art noun|picture adp|of num|two noun|friend-Plur cconj|and pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 pron|you-Prs-Acc-S2 part|to verb|tell-Inf-S pron|I-Prs-Acc-S1 pron|what-Rel-S1 pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 verb|do-Part-Pres-S .
,%gra,1|2|NSUBJ 2|18|ROOT 3|4|DET 4|2|OBJ 5|7|CASE 6|7|NUMMOD 7|4|NMOD 8|10|CC 9|10|NSUBJ 10|2|CONJ 11|10|OBJ 12|13|MARK 13|10|XCOMP 14|13|IOBJ 15|18|OBJ 16|18|NSUBJ 17|18|AUX 18|13|CCOMP 19|2|PUNCT
,%exp,Picture of two boys rollerskating
NOP,*KAR,what are they doing ?
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Pres-P3 pron|they-Prs-Nom-P3 verb|do-Part-Pres-S ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT
NOP,*CHI,rollerskating and they're stickin(g) mouth out (.) your friends .
,%mor,noun|rollerskating cconj|and pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 verb|stick-Part-Pres-S noun|mouth adp|out pron|your-Prs-Gen-S2 noun|friend-Plur .
,%gra,1|9|ROOT 2|5|CC 3|5|NSUBJ 4|5|AUX 5|1|CONJ 6|5|OBJ 7|5|COMPOUND-PRT 8|9|NMOD-POSS 9|5|OBJ 10|1|PUNCT
,%xpho,<3w> dere
NOP,*KAR,they're what ?
,%mor,pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 pron|what-Rel-S1 ?
,%gra,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
NOP,*CHI,they do this .
,%mor,pron|they-Prs-Nom-P3 verb|do-Fin-Ind-Pres-P3 pron|this-Dem-S1 .
,%gra,1|2|NSUBJ 2|3|ROOT 3|2|OBJ 4|2|PUNCT
,%act,<aft> opened her mouth and stuck out her tongue
NOP,*CHI,that you ?
,%mor,sconj|that pron|you-Prs-Acc-S2 ?
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
,%exp,picture of a woman riding a bike
NOP,*KAR,no it's someone else .
,%mor,intj|no pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 pron|someone-Ind-S1 adj|else-Pos-S1 .
,%gra,1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|5|ROOT 5|4|AMOD 6|4|PUNCT
NOP,*CHI,it's a lady .
,%mor,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|lady .
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT
NOP,*CHI,let's play the game .
,%mor,verb|let-Fin-Imp-S~pron|we-Prs-Acc-P1 verb|play-Inf-S det|the-Def-Art noun|game .
,%gra,1|5|ROOT 2|1|OBJ 3|1|XCOMP 4|5|DET 5|3|OBJ 6|1|PUNCT
NOP,*CHI,girl monkeys !
,%mor,noun|girl noun|monkey-Plur !
,%gra,1|2|COMPOUND 2|2|ROOT 3|2|PUNCT
,%exp,<1w> Two pictures of monkeys dressed up like women
NOP,*CHI,look at his hands .
,%mor,verb|look-Fin-Imp-S adp|at pron|his-Prs-Gen-S3 noun|hand-Plur .
,%gra,1|4|ROOT 2|4|CASE 3|4|NMOD-POSS 4|1|OBL 5|1|PUNCT
NOP,*KAR,which one do you wanna tell me a story about ?
,%mor,det|which-Def-Int noun|one aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 intj|wanna verb|tell-Inf-S pron|I-Prs-Acc-S1 det|a-Ind-Art noun|story adp|about ?
,%gra,1|2|DET 2|6|OBJ 3|6|AUX 4|6|NSUBJ 5|6|DISCOURSE 6|10|ROOT 7|6|IOBJ 8|9|DET 9|6|OBJ 10|2|CASE 11|6|PUNCT
NOP,*KAR,pick one .
,%mor,verb|pick-Fin-Imp-S num|one .
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT
,*CHI,I want that one [//] I want the other one .
,%mor,pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 sconj|that pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 det|the-Def-Art adj|other-Pos-S1 noun|one .
,%gra,1|2|NSUBJ 2|8|ROOT 3|5|MARK 4|5|NSUBJ 5|2|CCOMP 6|8|DET 7|8|AMOD 8|5|OBJ 9|2|PUNCT
,%act,<bef> Pointing to one
NOP,*CHI,can I take it home ?
,%mor,aux|can-Fin-S pron|I-Prs-Nom-S1 verb|take-Inf-S pron|it-Prs-Acc-S3 adv|home ?
,%gra,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|3|OBJ 5|3|ADVMOD 6|3|PUNCT
,%exp,<1w> Monkey picture
NOP,*CHI,I wanna .
,%mor,pron|I-Prs-Nom-S1 verb|wanna-Fin-Ind-Pres-S1 .
,%gra,1|2|NSUBJ 2|2|ROOT 3|2|PUNCT
NOP,*KAR,make up a story about it .
,%mor,verb|make-Fin-Imp-S adp|up det|a-Ind-Art noun|story adp|about pron|it-Prs-Acc-S3 .
,%gra,1|6|ROOT 2|1|COMPOUND-PRT 3|4|DET 4|1|OBJ 5|6|CASE 6|4|NMOD 7|1|PUNCT
NOP,*CHI,got a necklace on and dress on and he's a girl .
,%mor,verb|get-Fin-Ind-Past-S1 det|a-Ind-Art noun|necklace adv|on cconj|and verb|dress-Fin-Ind-Pres-S1 adp|on cconj|and pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|girl .
,%gra,1|12|ROOT 2|3|DET 3|1|OBJ 4|1|COMPOUND-PRT 5|6|CC 6|1|CONJ 7|6|COMPOUND-PRT 8|12|CC 9|12|NSUBJ 10|12|COP 11|12|DET 12|1|CONJ 13|1|PUNCT
,%par,laughed
NOP,*CHI,him (sup)posed (t)o be a (.) a girl .
,%mor,pron|he-Prs-Acc-S3 verb|suppose-Part-Past-S part|to aux|be-Inf-S det|a-Ind-Art det|a-Ind-Art noun|girl .
,%gra,1|2|NSUBJ 2|7|ROOT 3|7|MARK 4|7|COP 5|7|DET 6|7|DET 7|2|XCOMP 8|2|PUNCT
NOP,*CHI,lemme see <that w> [//] other one .
,%mor,intj|lemme verb|see-Fin-Imp-S adj|other-Pos-S1 noun|one .
,%gra,1|2|DISCOURSE 2|4|ROOT 3|4|AMOD 4|2|OBJ 5|2|PUNCT
NOP,*CHI,look at his hands .
,%mor,verb|look-Fin-Imp-S adp|at pron|his-Prs-Gen-S3 noun|hand-Plur .
,%gra,1|4|ROOT 2|4|CASE 3|4|NMOD-POSS 4|1|OBL 5|1|PUNCT
,%par,laughed
NOP,*KAR,do you wanna tell me a bigger story about this one or that one ?
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 intj|wanna verb|tell-Inf-S pron|I-Prs-Acc-S1 det|a-Ind-Art adj|big-Cmp-S1 noun|story adp|about det|this-Def-Dem noun|one cconj|or det|that-Def-Dem noun|one ?
,%gra,1|4|AUX 2|4|NSUBJ 3|4|DISCOURSE 4|14|ROOT 5|4|IOBJ 6|8|DET 7|8|AMOD 8|4|OBJ 9|11|CASE 10|11|DET 11|8|NMOD 12|14|CC 13|14|DET 14|11|CONJ 15|4|PUNCT
NOP,*CHI,this one .
,%mor,det|this-Def-Dem noun|one .
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
NOP,*CHI,he's bigger .
,%mor,pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|big-Cmp-S1 .
,%gra,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
NOP,*CHI,I'm gonna take all those things home .
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|gonna verb|take-Inf-S det|all-Def det|that-Def-Dem noun|thing-Plur adv|home .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|8|ROOT 5|7|DET-PREDET 6|7|DET 7|4|OBJ 8|4|ADVMOD 9|4|PUNCT
NOP,*CHI,gonna ask my mom I can .
,%mor,adv|gonna verb|ask-Fin-S pron|my-Prs-Gen-S1 noun|mom pron|I-Prs-Nom-S1 aux|can-Fin-S .
,%gra,1|2|ADVMOD 2|6|ROOT 3|4|NMOD-POSS 4|2|IOBJ 5|6|NSUBJ 6|2|CCOMP 7|2|PUNCT
NOP,*CHI,there's two of em .
,%mor,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 num|two adp|of pron|they-Prs-Acc-P3 .
,%gra,1|2|EXPL 2|5|ROOT 3|2|NSUBJ 4|5|CASE 5|3|NMOD 6|2|PUNCT
,*CHI,look his teeth .
,%mor,verb|look-Fin-Imp-S pron|his-Prs-Gen-S3 noun|tooth-Plur .
,%gra,1|3|ROOT 2|3|NMOD-POSS 3|1|OBJ 4|1|PUNCT
,%par,<1w> laughed
NOP,*CHI,look at his long hands .
,%mor,verb|look-Fin-Imp-S adp|at pron|his-Prs-Gen-S3 adj|long-Pos-S1 noun|hand-Plur .
,%gra,1|5|ROOT 2|5|CASE 3|5|NMOD-POSS 4|5|AMOD 5|1|OBL 6|1|PUNCT
NOP,*CHI,guess what I have for lunch ?
,%mor,verb|guess-Fin-Imp-S pron|what-Rel-S1 pron|I-Prs-Nom-S1 verb|have-Fin-Ind-Pres-S1 adp|for noun|lunch ?
,%gra,1|6|ROOT 2|1|OBJ 3|4|NSUBJ 4|2|ACL-RELCL 5|6|CASE 6|4|OBL 7|1|PUNCT
NOP,*KAR,what ?
,%mor,pron|what-Int-S1 ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,grill cheese sandwich .
,%mor,noun|grill noun|cheese noun|sandwich .
,%gra,1|3|ROOT 2|3|COMPOUND 3|1|OBJ 4|1|PUNCT
NOP,*KAR,take a look at this picture Melissa .
,%mor,verb|take-Fin-Imp-S det|a-Ind-Art noun|look adp|at det|this-Def-Dem noun|picture noun|Melissa .
,%gra,1|7|ROOT 2|3|DET 3|1|OBJ 4|7|CASE 5|7|DET 6|7|COMPOUND 7|1|OBL 8|1|PUNCT
,%exp,Picture of a monkey talking on the telephone while eating and drinking .
NOP,*CHI,drinkin(g) juice (.) and he's eatin(g) chips .
,%mor,noun|drinking noun|juice cconj|and pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|eat-Part-Pres-S noun|chip-Plur .
,%gra,1|2|COMPOUND 2|7|ROOT 3|6|CC 4|6|NSUBJ 5|6|AUX 6|2|CONJ 7|6|OBJ 8|2|PUNCT
NOP,*CHI,I'm not keep this one keepin(g) this one (o)kay ?
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not verb|keep-Inf-S det|this-Def-Dem noun|one verb|keep-Ger-S det|this-Def-Dem noun|one adj|okay-Pos-S1 ?
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|10|ROOT 5|6|DET 6|4|OBJ 7|4|ADVCL 8|9|DET 9|7|OBJ 10|7|XCOMP 11|4|PUNCT
,%exp,choice of pictures
NOP,*CHI,I'll put this on here kayr [okay] ?
,%mor,pron|I-Prs-Nom-S1~aux|will-Fin-S verb|put-Inf-S pron|this-Dem-S1 adp|on adv|here adj|okay-Pos-S1 ?
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|3|OBJ 5|6|CASE 6|3|OBL 7|3|ADVMOD 8|3|PUNCT
,%exp,picture on table
NOP,*KAR,what does this monkey like to drink ?
,%mor,pron|what-Int-S1 aux|do-Fin-Ind-Pres-S3 det|this-Def-Dem noun|monkey verb|like-Inf-S part|to verb|drink-Inf-S ?
,%gra,1|7|OBJ 2|5|AUX 3|4|DET 4|5|NSUBJ 5|7|ROOT 6|7|MARK 7|5|XCOMP 8|5|PUNCT
NOP,*CHI,he likes milk (.) pop (.) pop .
,%mor,pron|he-Prs-Nom-S3 verb|like-Fin-Ind-Pres-S3 noun|milk noun|pop noun|pop .
,%gra,1|2|NSUBJ 2|5|ROOT 3|5|COMPOUND 4|5|COMPOUND 5|2|OBJ 6|2|PUNCT
NOP,*KAR,do you like to drink pop ?
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|like-Inf-S part|to verb|drink-Inf-S noun|pop ?
,%gra,1|3|AUX 2|3|NSUBJ 3|6|ROOT 4|5|MARK 5|3|XCOMP 6|5|OBJ 7|3|PUNCT
NOP,*CHI,I like drinkin(g) pop .
,%mor,pron|I-Prs-Nom-S1 verb|like-Fin-Ind-Pres-S1 verb|drink-Ger-S noun|pop .
,%gra,1|2|NSUBJ 2|4|ROOT 3|4|AMOD 4|2|OBJ 5|2|PUNCT
NOP,*CHI,let's do &-uh game now .
,%mor,verb|let-Fin-Imp-S~pron|we-Prs-Acc-P1 verb|do-Inf-S noun|game adv|now .
,%gra,1|5|ROOT 2|1|OBJ 3|1|XCOMP 4|3|OBJ 5|3|ADVMOD 6|1|PUNCT
NOP,*KAR,tell me about the monkey .
,%mor,verb|tell-Fin-Imp-S pron|I-Prs-Acc-S1 adp|about det|the-Def-Art noun|monkey .
,%gra,1|5|ROOT 2|1|IOBJ 3|5|CASE 4|5|DET 5|1|OBL 6|1|PUNCT
,%exp,Picture of a monkey having breakfast in bed
,*CHI,<he was (ea)t> [//] she was eat breakfast with dat [that] banana .
,%mor,pron|she-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 verb|eat-Part-Past-S noun|breakfast adp|with det|that-Def-Dem noun|banana .
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|3|OBJ 5|7|CASE 6|7|DET 7|3|OBL 8|3|PUNCT
,%par,laughed .
,%xpho,<7w> brekt&hs
NOP,*CHI,she was eat breakfast and she's got whiskers on .
,%mor,pron|she-Prs-Nom-S3 aux|be-Fin-Ind-Past-S3 verb|eat-Part-Past-S noun|breakfast cconj|and pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S noun|whisker-Plur adv|on .
,%gra,1|3|NSUBJ 2|3|AUX 3|10|ROOT 4|3|OBJ 5|8|CC 6|8|NSUBJ 7|8|AUX 8|3|CONJ 9|8|OBJ 10|8|ADVMOD 11|3|PUNCT
,%xpho,<4w> brekt&hs
NOP,*KAR,what's in front of her ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adp|in noun|front adp|of pron|her-Prs-Acc-S3 ?
,%gra,1|4|NSUBJ 2|4|COP 3|4|CASE 4|6|ROOT 5|6|CASE 6|4|NMOD 7|4|PUNCT
NOP,*CHI,this ?
,%mor,pron|this-Dem-S1 ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,banana ?
,%mor,noun|banana ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,"I don't wanna look all these pictures anymore , (o)kay ?"
,%mor,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not adv|wanna verb|look-Inf-S det|all-Def det|this-Def-Dem noun|picture-Plur adv|anymore cm|cm intj|okay ?
,%gra,1|5|NSUBJ 2|5|AUX 3|5|ADVMOD 4|5|ADVMOD 5|11|ROOT 6|8|DET-PREDET 7|8|DET 8|5|OBJ 9|5|ADVMOD 10|5|PUNCT 11|5|DISCOURSE 12|5|PUNCT
NOP,*CHI,I'm keeping this one .
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|keep-Part-Pres-S det|this-Def-Dem noun|one .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT
NOP,*KAR,what did you do when your mother woke you up this morning ?
,%mor,pron|what-Int-S1 aux|do-Fin-Ind-Past-S2 pron|you-Prs-Nom-S2 verb|do-Inf-S adv|when pron|your-Prs-Gen-S2 noun|mother verb|wake-Fin-Ind-Past-S3 pron|you-Prs-Acc-S2 adp|up det|this-Def-Dem noun|morning ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|12|ROOT 5|8|ADVMOD 6|7|NMOD-POSS 7|8|NSUBJ 8|4|ADVCL 9|8|OBJ 10|8|COMPOUND-PRT 11|12|DET 12|8|OBL-TMOD 13|4|PUNCT
NOP,*CHI,I wake up .
,%mor,pron|I-Prs-Nom-S1 verb|wake-Fin-Ind-Pres-S1 adp|up .
,%gra,1|2|NSUBJ 2|3|ROOT 3|2|COMPOUND-PRT 4|2|PUNCT
,*KAR,after she woke you up .
,%mor,sconj|after pron|she-Prs-Nom-S3 verb|wake-Fin-Ind-Past-S3 pron|you-Prs-Acc-S2 adp|up .
,%gra,1|3|MARK 2|3|NSUBJ 3|5|ROOT 4|3|OBJ 5|3|COMPOUND-PRT 6|3|PUNCT
NOP,*CHI,no she didn't !
,%mor,intj|no pron|she-Prs-Nom-S3 verb|do-Fin-Ind-Past-S3~part|not !
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|4|ROOT 4|3|ADVMOD 5|3|PUNCT
NOP,*KAR,oh she didn't ?
,%mor,intj|oh pron|she-Prs-Nom-S3 verb|do-Fin-Ind-Past-S3~part|not ?
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|4|ROOT 4|3|ADVMOD 5|3|PUNCT
NOP,*KAR,what happened ?
,%mor,pron|what-Int-S1 verb|happen-Fin-Ind-Past-S3 ?
,%gra,1|2|NSUBJ 2|2|ROOT 3|2|PUNCT
NOP,*CHI,I waked her up and she got mad at me .
,%mor,pron|I-Prs-Nom-S1 verb|wake-Fin-Ind-Past-S1 pron|her-Prs-Acc-S3 adp|up cconj|and pron|she-Prs-Nom-S3 verb|get-Fin-Ind-Past-S3 adj|mad-Pos-S1 adp|at pron|I-Prs-Acc-S1 .
,%gra,1|2|NSUBJ 2|10|ROOT 3|2|OBJ 4|2|COMPOUND-PRT 5|7|CC 6|7|NSUBJ 7|2|CONJ 8|7|XCOMP 9|10|CASE 10|8|OBL 11|2|PUNCT
NOP,*KAR,why did she get mad ?
,%mor,adv|why aux|do-Fin-Ind-Past-S3 pron|she-Prs-Nom-S3 verb|get-Inf-S adj|mad-Pos-S1 ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|5|ROOT 5|4|XCOMP 6|4|PUNCT
NOP,*CHI,because she did .
,%mor,sconj|because pron|she-Prs-Nom-S3 verb|do-Fin-Ind-Past-S3 .
,%gra,1|3|MARK 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
NOP,*KAR,"Barbie dolls , ay ?"
,%mor,noun|Barbie noun|doll-Plur cm|cm intj|ay ?
,%gra,1|2|COMPOUND 2|4|ROOT 3|2|PUNCT 4|2|DISCOURSE 5|2|PUNCT
,%act,<bef> Presented some small dolls and gave her a female doll
NOP,*KAR,who do you think that is ?
,%mor,pron|who-Int-S1 aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|think-Inf-S pron|that-Dem-S1 aux|be-Fin-Ind-Pres-S3 ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|1|NSUBJ 6|1|COP 7|4|PUNCT
NOP,*CHI,Barbie doll .
,%mor,noun|Barbie noun|doll .
,%gra,1|2|COMPOUND 2|2|ROOT 3|2|PUNCT
NOP,*KAR,and who's this ?
,%mor,cconj|and pron|who-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?
,%gra,1|4|CC 2|4|NSUBJ 3|4|COP 4|4|ROOT 5|4|PUNCT
,%exp,male doll
NOP,*CHI,he's a boy .
,%mor,pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|boy .
,%gra,1|4|NSUBJ 2|4|COP 3|4|DET 4|4|ROOT 5|4|PUNCT
,*CHI,look it (.) his buttons .
,%mor,verb|look-Fin-Imp-S pron|it-Prs-Acc-S3 pron|his-Prs-Gen-S3 noun|button-Plur .
,%gra,1|4|ROOT 2|1|OBJ 3|4|NMOD-POSS 4|1|XCOMP 5|1|PUNCT
,%exp,<1w> the doll's buttons were undone
,*CHI,put em up .
,%mor,verb|put-Fin-Imp-S pron|they-Prs-Acc-P3 adp|up .
,%gra,1|3|ROOT 2|1|OBJ 3|1|COMPOUND-PRT 4|1|PUNCT
,%exp,Referring to the buttons
NOP,*KAR,who do you think this is ?
,%mor,pron|who-Int-S1 aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|think-Inf-S pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|1|NSUBJ 6|1|COP 7|4|PUNCT
,%exp,Another younger female doll
NOP,*CHI,a little girl .
