Annotation,Speaker,Utterance,,
,%mor:,aux|be-Fin-Ind-Pres-S3 pron|that-Dem-S1 adj|okay-Pos-S1 ?,,
,%gra:,1|3|COP 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,
NOP,*MOT:,huh ?,,
,%mor:,intj|huh ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*CHI:,me ?,,
,%mor:,pron|I-Prs-Acc-S1 ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,what ?,,
,%mor:,pron|what-Int-S1 ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*CHI:,me .,,
,%mor:,pron|I-Prs-Acc-S1 .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*FAT:,what's that ?,,
,%mor:,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|that-Dem-S1 ?,,
,%gra:,1|3|ROOT 2|1|COP 3|1|NSUBJ 4|1|PUNCT,,
,%add:,unknown,,
NOP,*MOT:,ssh .,,
,%mor:,noun|ssh .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,fat,,
NOP,*MOT:,I didn't hear what you said .,,
,%mor:,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Past-S1~part|not verb|hear-Inf-S pron|what-Rel-S1 pron|you-Prs-Nom-S2 verb|say-Fin-Ind-Past-S2 .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|7|ROOT 5|4|OBJ 6|7|NSUBJ 7|5|ACL-RELCL 8|4|PUNCT,,
,%add:,chi,,
NOP,*MOT:,ah [>] .,,
,%mor:,intj|ah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*CHI:,<she's> [<] gonna eat wif me .,,
,%mor:,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|gonna verb|eat-Inf-S adp|wifhin pron|I-Prs-Acc-S1 .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|6|ROOT 5|6|CASE 6|4|OBL 7|4|PUNCT,,
,%add:,mot,,
NOP,*MOT:,"<yes , she is gonna> [>] eat with us .",,
,%mor:,intj|yes cm|cm pron|she-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 part|gonna verb|eat-Inf-S adp|with pron|we-Prs-Acc-P1 .,,
,%gra:,1|6|DISCOURSE 2|6|PUNCT 3|6|NSUBJ 4|6|AUX 5|6|ADVMOD 6|8|ROOT 7|8|CASE 8|6|OBL 9|6|PUNCT,,
,%add:,chi,,
NOP,*FAT:,yeah [<] .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,<you know what you need> [>] ?,,
,%mor:,pron|you-Prs-Nom-S2 verb|know-Fin-Ind-Pres-S2 pron|what-Rel-S1 pron|you-Prs-Nom-S2 verb|need-Fin-Ind-Pres-S2 ?,,
,%gra:,1|2|NSUBJ 2|5|ROOT 3|5|OBJ 4|5|NSUBJ 5|2|CCOMP 6|2|PUNCT,,
,%add:,chi,,
NOP,*FAT:,<she's gonna sit> [<] +...,,
,%mor:,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|gonna verb|sit-Inf-S +...,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|4|ROOT 5|4|PUNCT,,
,%add:,chi,,
NOP,*MOT:,you forgot your apron .,,
,%mor:,pron|you-Prs-Nom-S2 verb|forget-Fin-Ind-Past-S2 pron|your-Prs-Gen-S2 noun|apron .,,
,%gra:,1|2|NSUBJ 2|4|ROOT 3|4|NMOD-POSS 4|2|OBJ 5|2|PUNCT,,
,%par:,whispering,,
,%add:,chi,,
NOP,*MOT:,"punky@f (6.) , you forgot your apron .",,
,%mor:,adj|punky-Pos-S1 cm|cm pron|you-Prs-Nom-S2 verb|forget-Fin-Ind-Past-S2 pron|your-Prs-Gen-S2 noun|apron .,,
,%gra:,1|4|DISCOURSE 2|4|PUNCT 3|4|NSUBJ 4|6|ROOT 5|6|NMOD-POSS 6|4|OBJ 7|4|PUNCT,,
NOP,*MOT:,here .,,
,%mor:,adv|here .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*MOT:,we didn't do a very good job washing this today .,,
,%mor:,pron|we-Prs-Nom-P1 aux|do-Fin-Ind-Past-P1~part|not verb|do-Inf-S det|a-Ind-Art adv|very adj|good-Pos-S1 noun|job verb|wash-Ger-S pron|this-Dem-S1 noun|today .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|11|ROOT 5|8|DET 6|7|ADVMOD 7|8|AMOD 8|4|OBJ 9|4|ADVCL 10|9|OBJ 11|9|OBL-TMOD 12|4|PUNCT,,
NOP,*MOT:,hold over .,,
,%mor:,verb|hold-Fin-Imp-S adv|over .,,
,%gra:,1|2|ROOT 2|1|ADVMOD 3|1|PUNCT,,
NOP,*MOT:,okay .,,
,%mor:,intj|okay .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*MOT:,it's really very dirty .,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|really adv|very adj|dirty-Pos-S1 .,,
,%gra:,1|5|NSUBJ 2|5|COP 3|5|ADVMOD 4|5|ADVMOD 5|5|ROOT 6|5|PUNCT,,
,%add:,chi,,
NOP,*FAT:,it's supposed to be very dirty .,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|suppose-Part-Past-S part|to aux|be-Inf-S adv|very adj|dirty-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|7|MARK 5|7|COP 6|7|ADVMOD 7|3|XCOMP 8|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,"Nanette , there's [//] I +...",,
,%mor:,noun|Nanette cm|cm noun|I +...,,
,%gra:,1|3|ROOT 2|1|PUNCT 3|1|PARATAXIS 4|1|PUNCT,,
,%add:,chi,,
POL,*MOT:,there's catsup under the hamburger if you look carefully .,,
,%mor:,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 noun|catsup adp|under det|the-Def-Art noun|hamburger sconj|if pron|you-Prs-Nom-S2 verb|look-Fin-Ind-Pres-S2 adv|carefully .,,
,%gra:,1|2|EXPL 2|10|ROOT 3|2|NSUBJ 4|6|CASE 5|6|DET 6|2|OBL 7|9|MARK 8|9|NSUBJ 9|2|ADVCL 10|9|ADVMOD 11|2|PUNCT,,
POL,*MOT:,"okay , would you like to try some of this ?",,
,%mor:,intj|okay cm|cm aux|would-Fin-S pron|you-Prs-Nom-S2 verb|like-Inf-S part|to verb|try-Inf-S det|some-Def adp|of pron|this-Dem-S1 ?,,
,%gra:,1|5|DISCOURSE 2|1|PUNCT 3|5|AUX 4|5|NSUBJ 5|10|ROOT 6|7|MARK 7|5|XCOMP 8|7|OBJ 9|10|CASE 10|8|NMOD 11|5|PUNCT,,
NOP,*CHI:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,these +...,,
,%mor:,pron|this-Dem-P1 +...,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,do you know what they are ?,,
,%mor:,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|know-Inf-S pron|what-Rel-S1 pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 ?,,
,%gra:,1|3|AUX 2|3|NSUBJ 3|6|ROOT 4|3|OBJ 5|4|NSUBJ 6|4|ACL-RELCL 7|3|PUNCT,,
NOP,*CHI:,pickles .,,
,%mor:,noun|pickle-Plur .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,nope .,,
,%mor:,intj|nope .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,these are called Brussel(s) sprouts .,,
,%mor:,pron|this-Dem-P1 aux|be-Fin-Ind-Pres-P3 verb|call-Part-Past-S noun|Brussels noun|sprout-Plur .,,
,%gra:,1|3|NSUBJ-PASS 2|3|AUX-PASS 3|5|ROOT 4|5|COMPOUND 5|3|XCOMP 6|3|PUNCT,,
NOP,*MOT:,and when you +...,,
,%mor:,cconj|and adv|when pron|you-Prs-Acc-S2 +...,,
,%gra:,1|3|CC 2|3|ADVMOD 3|3|ROOT 4|3|PUNCT,,
NOP,*MOT:,I don't know why but we haven't had them in a very long time .,,
,%mor:,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S adv|why cconj|but pron|we-Prs-Nom-P1 aux|have-Fin-Ind-Pres-P1~part|not verb|have-Part-Past-S pron|they-Prs-Acc-P3 adp|in det|a-Ind-Art adv|very adj|long-Pos-S1 noun|time .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|16|ROOT 5|4|OBJ 6|10|CC 7|10|NSUBJ 8|10|AUX 9|10|ADVMOD 10|4|CONJ 11|10|OBJ 12|16|CASE 13|16|DET 14|15|ADVMOD 15|16|AMOD 16|10|OBL 17|4|PUNCT,,
NOP,*MOT:,but you used to have them when you was very little .,,
,%mor:,cconj|but pron|you-Prs-Nom-S2 verb|use-Fin-Ind-Past-S2 part|to verb|have-Inf-S pron|they-Prs-Acc-P3 adv|when pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Past-S3 adv|very adj|little-Pos-S1 .,,
,%gra:,1|3|CC 2|3|NSUBJ 3|11|ROOT 4|5|MARK 5|3|XCOMP 6|5|OBJ 7|11|ADVMOD 8|11|NSUBJ 9|11|COP 10|11|ADVMOD 11|5|ADVCL 12|3|PUNCT,,
NOP,*MOT:,you probably forgot .,,
,%mor:,pron|you-Prs-Nom-S2 adv|probably verb|forget-Fin-Ind-Past-S2 .,,
,%gra:,1|3|NSUBJ 2|3|ADVMOD 3|3|ROOT 4|3|PUNCT,,
NOP,*FAT:,did you buy these fresh ?,,
,%mor:,aux|do-Fin-Ind-Past-S2 pron|you-Prs-Nom-S2 verb|buy-Inf-S det|this-Def-Dem adj|fresh-Pos-S1 ?,,
,%gra:,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,yeah .,,
,%mor:,intj|yeah .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,fat,,
NOP,*MOT:,I just bought them today .,,
,%mor:,pron|I-Prs-Nom-S1 adv|just verb|buy-Fin-Ind-Past-S1 pron|they-Prs-Acc-P3 noun|today .,,
,%gra:,1|3|NSUBJ 2|3|ADVMOD 3|5|ROOT 4|3|OBJ 5|3|OBL-TMOD 6|3|PUNCT,,
NOP,*MOT:,they're like [>] +...,,
,%mor:,pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adj|like-Pos-S1 +...,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,fat,,
NOP,*FAT:,<that's> [<] why .,,
,%mor:,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adv|why .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,"oh , cause <they was out_of season> [>] ?",,
,%mor:,intj|oh cm|cm sconj|cause pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Past-S3 adj|outof-Pos-S1 noun|season ?,,
,%gra:,1|7|DISCOURSE 2|7|PUNCT 3|7|MARK 4|7|NSUBJ 5|7|COP 6|7|AMOD 7|7|ROOT 8|7|PUNCT,,
,%add:,fat,,
NOP,*CHI:,<they're hot> [<] .,,
,%mor:,pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adj|hot-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,unknown,,
NOP,*FAT:,<you haven't> [>] [/] you haven seen then that fresh .,,
,%mor:,pron|you-Prs-Nom-S2 noun|haven verb|see-Part-Past-S adv|then det|that-Def-Dem adj|fresh-Pos-S1 .,,
,%gra:,1|2|NSUBJ 2|3|NSUBJ 3|6|ROOT 4|6|ADVMOD 5|6|DET 6|3|PARATAXIS 7|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,that's what it is .,,
,%mor:,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 pron|what-Rel-S1 pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|5|ROOT 4|5|NSUBJ 5|3|ACL-RELCL 6|3|PUNCT,,
,%add:,fat,,
NOP,*MOT:,but they're [/] they're like little cabbages .,,
,%mor:,cconj|but pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adp|like adj|little-Pos-S1 noun|cabbage-Plur .,,
,%gra:,1|6|CC 2|6|NSUBJ 3|6|COP 4|6|CASE 5|6|AMOD 6|6|ROOT 7|6|PUNCT,,
,%add:,chi,,
NOP,*MOT:,I think you might like them .,,
,%mor:,pron|I-Prs-Nom-S1 verb|think-Fin-Ind-Pres-S1 pron|you-Prs-Nom-S2 aux|might-Fin-S verb|like-Inf-S pron|they-Prs-Acc-P3 .,,
,%gra:,1|2|NSUBJ 2|6|ROOT 3|5|NSUBJ 4|5|AUX 5|2|CCOMP 6|5|OBJ 7|2|PUNCT,,
NOP,*MOT:,"they might be too hot , though .",,
,%mor:,pron|they-Prs-Nom-P3 aux|might-Fin-S aux|be-Inf-S adv|too adj|hot-Pos-S1 cm|cm adv|though .,,
,%gra:,1|5|NSUBJ 2|5|AUX 3|5|COP 4|5|ADVMOD 5|7|ROOT 6|5|PUNCT 7|5|ADVMOD 8|5|PUNCT,,
NOP,*MOT:,try it and see .,,
,%mor:,verb|try-Fin-Imp-S pron|it-Prs-Acc-S3 cconj|and verb|see-Fin-Imp-S .,,
,%gra:,1|4|ROOT 2|1|OBJ 3|4|CC 4|1|CONJ 5|1|PUNCT,,
NOP,*JAN:,I see that the dining room table is now a playroom .,,
,%mor:,pron|I-Prs-Nom-S1 verb|see-Fin-Ind-Pres-S1 sconj|that det|the-Def-Art noun|dining noun|room noun|table aux|be-Fin-Ind-Pres-S3 adv|now det|a-Ind-Art noun|playroom .,,
,%gra:,1|2|NSUBJ 2|11|ROOT 3|11|MARK 4|7|DET 5|6|COMPOUND 6|7|COMPOUND 7|11|NSUBJ 8|11|COP 9|11|ADVMOD 10|11|DET 11|2|CCOMP 12|2|PUNCT,,
,%add:,mot,,
NOP,*MOT:,"the [/] the , &-uh , table is folded up .",,
,%mor:,det|the-Def-Art cm|cm cm|cm noun|table aux|be-Fin-Ind-Pres-S3 verb|fold-Part-Past-S adp|up .,,
,%gra:,1|4|DET 2|1|PUNCT 3|1|PUNCT 4|6|NSUBJ-PASS 5|6|AUX-PASS 6|7|ROOT 7|6|COMPOUND-PRT 8|6|PUNCT,,
,%add:,jan,,
NOP,*MOT:,it's one of those kinds of tables .,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 num|one adp|of det|that-Def-Dem noun|kind-Plur adp|of noun|table-Plur .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|8|ROOT 4|6|CASE 5|6|DET 6|3|NMOD 7|8|CASE 8|6|NMOD 9|3|PUNCT,,
NOP,*JAN:,mm [>] .,,
,%mor:,intj|mm .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*CHI:,<it's too> [<] +...,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|too +...,,
,%gra:,1|2|NSUBJ 2|3|ROOT 3|2|ADVMOD 4|2|PUNCT,,
,%add:,unknown,,
NOP,*MOT:,so_that if we have <guests or something> [>] +...,,
,%mor:,intj|sothat sconj|if pron|we-Prs-Nom-P1 verb|have-Fin-Ind-Pres-P1 noun|guest-Plur cconj|or pron|something-Ind-S1 +...,,
,%gra:,1|7|ROOT 2|4|MARK 3|4|NSUBJ 4|1|ADVCL 5|4|OBJ 6|7|CC 7|5|CONJ 8|1|PUNCT,,
,%add:,jan,,
NOP,*CHI:,<it [//] xxx> [<] burn my mouf [: mouth] .,,
,%mor:,verb|burn-Fin-Imp-S pron|my-Prs-Gen-S1 noun|mouth .,,
,%gra:,1|3|ROOT 2|3|NMOD-POSS 3|1|OBJ 4|1|PUNCT,,
,%add:,mot,,
POL,*MOT:,"what , honey ?",,
,%mor:,pron|what-Int-S1 cm|cm noun|honey ?,,
,%gra:,1|3|ROOT 2|1|PUNCT 3|1|PARATAXIS 4|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,what's the problem ?,,
,%mor:,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|problem ?,,
,%gra:,1|4|ROOT 2|1|COP 3|4|DET 4|1|NSUBJ 5|1|PUNCT,,
NOP,*CHI:,I burn my <mouf [: mouth]> [>] .,,
,%mor:,pron|I-Prs-Nom-S1 verb|burn-Fin-Ind-Pres-S1 pron|my-Prs-Gen-S1 noun|mouth .,,
,%gra:,1|2|NSUBJ 2|4|ROOT 3|4|NMOD-POSS 4|2|OBJ 5|2|PUNCT,,
,%add:,mot,,
NOP,*MOT:,<if it> [<] .,,
,%mor:,sconj|if pron|it-Prs-Nom-S3 .,,
,%gra:,1|2|MARK 2|2|ROOT 3|2|PUNCT,,
,%exp:,a Sesame_street record is playing very loudly throughout this tape,,
,%add:,chi,,
NOP,*MOT:,"well , if it burns your mouth , what do you do ?",,
,%mor:,intj|well cm|cm sconj|if pron|it-Prs-Nom-S3 verb|burn-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|mouth cm|cm pron|what-Int-S1 aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|do-Inf-S ?,,
,%gra:,1|12|DISCOURSE 2|12|PUNCT 3|5|MARK 4|5|NSUBJ 5|12|ADVCL 6|7|NMOD-POSS 7|5|OBJ 8|12|PUNCT 9|12|OBJ 10|12|AUX 11|12|NSUBJ 12|12|ROOT 13|12|PUNCT,,
NOP,*MOT:,can you (..) blow on it ?,,
,%mor:,aux|can-Fin-S pron|you-Prs-Nom-S2 verb|blow-Inf-S adp|on pron|it-Prs-Acc-S3 ?,,
,%gra:,1|3|AUX 2|3|NSUBJ 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT,,
NOP,*MOT:,there you go .,,
,%mor:,pron|there-Int-S1 pron|you-Prs-Nom-S2 verb|go-Fin-Ind-Pres-S2 .,,
,%gra:,1|3|EXPL 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT,,
NOP,*MOT:,lemme make the record a little softer .,,
,%mor:,intj|lemme verb|make-Fin-Imp-S det|the-Def-Art noun|record det|a-Ind-Art adj|little-Pos-S1 adj|softer-Cmp-S1 .,,
,%gra:,1|2|DISCOURSE 2|7|ROOT 3|4|DET 4|2|OBJ 5|6|DET 6|7|OBL-NPMOD 7|2|XCOMP 8|2|PUNCT,,
NOP,*MOT:,mm: these are delicious .,,
,%mor:,intj|mm pron|this-Dem-P1 aux|be-Fin-Ind-Pres-P3 adj|delicious-Pos-S1 .,,
,%gra:,1|4|DISCOURSE 2|4|NSUBJ 3|4|COP 4|4|ROOT 5|4|PUNCT,,
NOP,*MOT:,I haven't had them in a long time .,,
,%mor:,pron|I-Prs-Nom-S1 aux|have-Fin-Ind-Pres-S1~part|not verb|have-Part-Past-S pron|they-Prs-Acc-P3 adp|in det|a-Ind-Art adj|long-Pos-S1 noun|time .,,
,%gra:,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|9|ROOT 5|4|OBJ 6|9|CASE 7|9|DET 8|9|AMOD 9|4|OBL 10|4|PUNCT,,
NOP,*CHI:,it's hot .,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adj|hot-Pos-S1 .,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,mot,,
NOP,*MOT:,"well , ya +...",,
,%mor:,intj|well cm|cm intj|ya +...,,
,%gra:,1|3|ROOT 2|1|PUNCT 3|1|DISCOURSE 4|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,did we loose one ?,,
,%mor:,aux|do-Fin-Ind-Past-P1 pron|we-Prs-Nom-P1 verb|lose-Inf-S num|one ?,,
,%gra:,1|3|AUX 2|3|NSUBJ 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,
NOP,*CHI:,ah ?,,
,%mor:,intj|ah ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,is there one on your lap ?,,
,%mor:,verb|be-Fin-Ind-Pres-S3 pron|there-Int-S1 num|one adp|on pron|your-Prs-Gen-S2 noun|lap ?,,
,%gra:,1|6|ROOT 2|1|EXPL 3|1|NSUBJ 4|6|CASE 5|6|NMOD-POSS 6|3|NMOD 7|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,here it is .,,
,%mor:,adv|here pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .,,
,%gra:,1|3|ROOT 2|1|NSUBJ 3|1|COP 4|1|PUNCT,,
NOP,*MOT:,isn't it cute ?,,
,%mor:,aux|be-Fin-Ind-Pres-S3~part|not pron|it-Prs-Nom-S3 adj|cute-Pos-S1 ?,,
,%gra:,1|4|COP 2|4|ADVMOD 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT,,
NOP,*MOT:,<it's like a little tiny> [>] +...,,
,%mor:,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 intj|like det|a-Ind-Art adj|little-Pos-S1 adj|tiny-Pos-S1 +...,,
,%gra:,1|6|NSUBJ 2|6|COP 3|6|DISCOURSE 4|5|DET 5|6|AMOD 6|6|ROOT 7|6|PUNCT,,
NOP,*CHI:,<I [/] I want> [<] to make it wouder [: louder] .,,
,%mor:,pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 part|to verb|make-Inf-S pron|it-Prs-Acc-S3 adj|loud-Cmp-S1 .,,
,%gra:,1|2|NSUBJ 2|6|ROOT 3|4|MARK 4|2|XCOMP 5|4|OBJ 6|4|XCOMP 7|2|PUNCT,,
,%add:,mot,,
NOP,*MOT:,you wanna make it what ?,,
,%mor:,pron|you-Prs-Nom-S2 aux|wanna-Fin-S verb|make-Inf-S pron|it-Prs-Acc-S3 pron|what-Int-S1 ?,,
,%gra:,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|3|OBJ 5|3|XCOMP 6|3|PUNCT,,
,%add:,chi,,
NOP,*CHI:,wouder [: louder] .,,
,%mor:,adj|loud-Cmp-S1 .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,mot,,
NOP,*MOT:,louder ?,,
,%mor:,adj|loud-Cmp-S1 ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,the record ?,,
,%mor:,det|the-Def-Art noun|record ?,,
,%gra:,1|2|DET 2|2|ROOT 3|2|PUNCT,,
NOP,*MOT:,listen carefully .,,
,%mor:,verb|listen-Fin-Imp-S adv|carefully .,,
,%gra:,1|2|ROOT 2|1|ADVMOD 3|1|PUNCT,,
NOP,*MOT:,see ?,,
,%mor:,verb|see-Fin-Imp-S ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*MOT:,you can hear it .,,
,%mor:,pron|you-Prs-Nom-S2 aux|can-Fin-S verb|hear-Inf-S pron|it-Prs-Acc-S3 .,,
,%gra:,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|OBJ 5|3|PUNCT,,
NOP,*CHI:,&~ga +...,,
,%add:,unknown,,
NOP,*FAT:,<who's that> [>] ?,,
,%mor:,pron|who-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|that-Dem-S1 ?,,
,%gra:,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT,,
,%add:,chi,,
NOP,*CHI:,<I want> [<] wouder [: louder] .,,
,%mor:,pron|I-Prs-Nom-S1 verb|want-Fin-Ind-Pres-S1 adj|loud-Cmp-S1 .,,
,%gra:,1|2|NSUBJ 2|3|ROOT 3|2|XCOMP 4|2|PUNCT,,
,%add:,unknown,,
NOP,*CHI:,<who's singing> [>] ?,,
,%mor:,pron|who-Rel-S1~aux|be-Fin-Ind-Pres-S3 verb|sing-Part-Pres-S ?,,
,%gra:,1|3|NSUBJ 2|3|AUX 3|3|ROOT 4|3|PUNCT,,
NOP,*FAT:,xxx .,,
,%add:,chi,,
POL,*MOT:,<maybe a> [>] little louder .,,
,%mor:,adv|maybe det|a-Ind-Art adj|little-Pos-S1 adj|loud-Cmp-S1 .,,
,%gra:,1|4|ADVMOD 2|3|DET 3|4|OBL-NPMOD 4|4|ROOT 5|4|PUNCT,,
,%add:,chi,,
NOP,*FAT:,who's singing now ?,,
